ID,Rank,City,State,Estimated Population 2017,Estimated Population 2018,Population Difference,Percent Difference
668000,597,San Jose,California,1032136,1030119,-2017,-0.2
5363000,89,Seattle,Washington,729601,744955,15354,2.1
4159000,311,Portland,Oregon,648630,653115,4485,0.7
1245000,102,Miami,Florida,462030,470914,8884,1.9
5182000,515,Virginia Beach,Virginia,449962,450189,227,0.1
2743000,229,Minneapolis,Minnesota,421072,425403,4331,1
1571550,726,Honolulu,Hawaii,349651,347397,-2254,-0.6
2146027,352,Lexington,Kentucky,322193,323780,1587,0.5
2758000,283,St. Paul,Minnesota,305255,307695,2440,0.8
807850,694,Boulder,Colorado,107895,107353,-542,-0.5
